#표제어    항목1   항목2
엑소브레인,권우영,박성훈,박수진,안영민,이정환,이창은
엑소브레인멤버,권우영,박성훈,박수진,안영민,이정환,이창은
엑소브레인멤버들,권우영,박성훈,박수진,안영민,이정환,이창은
엑소브레인 멤버,권우영,박성훈,박수진,안영민,이정환,이창은
엑소브레인 멤버들,권우영,박성훈,박수진,안영민,이정환,이창은
엑소브레인맴버,권우영,박성훈,박수진,안영민,이정환,이창은
엑소브레인맴버들,권우영,박성훈,박수진,안영민,이정환,이창은
엑소브레인 맴버,권우영,박성훈,박수진,안영민,이정환,이창은
엑소브레인 맴버들,권우영,박성훈,박수진,안영민,이정환,이창은
